Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
16590,3.0,1,1,1
74318,3.0,1,1,1
68667,3.0,1,1,1
13589,3.0,1,1,1
12577,3.0,1,1,1
52857,3.0,1,1,1
212307,3.0,1,1,1
19697,3.0,1,1,1
11838,3.0,1,1,1
21353,3.0,1,1,1
53892,3.0,1,1,1
12314,3.0,1,1,1
16478,3.0,1,1,1
12227,3.0,1,1,1
217127,3.0,1,1,1
18186,3.0,1,1,1
16998,3.0,1,1,1
20807,3.0,1,1,1
22190,3.0,1,1,1
114716,3.0,1,1,1
78893,3.0,1,1,1
19877,3.0,1,1,1
320910,3.0,1,1,1
218441,3.0,1,1,1
245944,3.0,1,1,1
15387,3.0,1,1,1
13653,3.0,1,1,1
245000,3.0,1,1,1
217232,3.0,1,1,1
16477,3.0,1,1,1
13211,3.0,1,1,1
109241,3.0,1,1,1
16600,3.0,1,1,1
101568,3.0,1,1,1
20383,3.0,1,1,1
67013,3.0,1,1,1
21417,3.0,1,1,1
20405,3.0,1,1,1
12464,3.0,1,1,1
19671,3.0,1,1,1
108062,3.0,1,1,1
67089,3.0,1,1,1
18712,3.0,1,1,1
70248,3.0,1,1,1
24136,3.0,1,1,1
12192,3.0,1,1,1
217365,3.0,1,1,1
22695,3.0,1,1,1
16476,3.0,1,1,1
110962,3.0,1,1,1
22629,3.0,1,1,1
14282,3.0,1,1,1
53379,3.0,1,1,1
14739,3.0,1,1,1
21406,3.0,1,1,1
21833,3.0,1,1,1
15982,3.0,1,1,1
12608,3.0,1,1,1
16322,3.0,1,1,1
12369,3.0,1,1,1
66997,3.0,1,1,1
56320,3.0,1,1,1
14281,3.0,1,1,1
19826,3.0,1,1,1
12167,3.0,1,1,1
75410,3.0,1,1,1
22630,3.0,1,1,1
240028,3.0,1,1,1
17133,3.0,1,1,1
68098,3.0,1,1,1
68134,3.0,1,1,1
83602,3.0,1,1,1
192176,3.0,1,1,1
67883,2.0,1,0,1
71521,2.0,1,0,1
66878,2.0,1,0,1
23954,2.0,1,0,1
226977,2.0,1,0,1
106298,2.0,1,1,0
17957,2.0,1,0,1
78455,2.0,1,0,1
72843,2.0,1,0,1
330474,2.0,1,0,1
27878,2.0,1,0,1
231672,2.0,1,0,1
12703,2.0,1,0,1
216019,2.0,1,1,0
67819,2.0,1,0,1
106628,2.0,1,0,1
17347,2.0,1,0,1
66580,2.0,1,0,1
21945,2.0,1,1,0
67045,2.0,1,0,1
14673,2.0,1,0,1
12340,2.0,1,0,1
30050,2.0,1,0,1
71198,2.0,1,0,1
233060,2.0,1,0,1
66092,2.0,1,1,0
544971,2.0,1,0,1
17346,2.0,1,0,1
14109,2.0,1,0,1
22634,2.0,1,1,0
76303,2.0,1,1,0
67706,2.0,1,0,1
12228,2.0,1,0,1
66995,2.0,1,0,1
231430,2.0,1,1,0
